Time,Cumulative Damage,RUL (Linear),RUL (Feedback)
0.0,0.0,4849.35126828357,4849.35126828357
62.400000000000006,0.0074649160263477905,4813.151268283569,4707.722997723629
62.800000000000004,0.007465938421095869,4813.146310332301,4707.704025260286
63.2,0.00748638696017838,4813.047148183367,4707.324587945794
63.400000000000006,0.008107870676710333,4810.033355334384,4695.814192744486
64.0,0.01490628857240161,4777.065438889593,4572.584640376062
64.2,0.014912556932608451,4777.0350414090735,4572.473238914645
64.4,0.014925093991518154,4776.974244806549,4572.250442007387
64.60000000000001,0.014929273111452045,4776.953978785998,4572.17617815399
65.60000000000001,0.014931362690225077,4776.943845684525,4572.139046561477
66.4,0.01493983626952162,4776.902754322015,4571.988476525715
66.80000000000001,0.014952997593837126,4776.838930437254,4571.754622813617
67.20000000000002,0.014958221920146897,4776.813595843838,4571.661800573335
67.4,0.014967625904985996,4776.767992618032,4571.494724049462
68.60000000000001,0.014969715713876135,4776.75785840064,4571.457596545656
69.00000000000001,0.015125731826273347,4776.001281468114,4568.687074984963
73.00000000000001,0.015126777203468826,4775.996212066885,4568.668519628136
75.2,0.015128867967268188,4775.986073218803,4568.6314090814785
76.00000000000001,0.01513825225870249,4775.940565493234,4568.464845686198
84.2,0.015139297673459265,4775.935495909857,4568.446290996057
89.2,0.015142433936547097,4775.920287068475,4568.390627259615
90.80000000000001,0.015147996703540015,4775.893311257302,4568.291899360345
92.60000000000001,0.015171103208636188,4775.781259697508,4567.881839214762
101.6,0.015172148721945814,4775.776189636214,4567.863286273635
116.2,0.015174239757974694,4775.766049467996,4567.826180558357
124.80000000000001,0.015175285280693968,4775.760979361071,4567.807627784205
125.20000000000002,0.01517633080654981,4775.7559092389365,4567.7890750657125
125.60000000000002,0.015197241982360452,4775.654503601997,4567.418032383798
125.80000000000001,0.015832786419418488,4772.572525380099,4556.162291995959
126.40000000000002,0.022785014707092766,4738.8587283158695,4435.659057718569
126.60000000000001,0.022791424885433665,4738.827643109402,4435.55012089176
126.80000000000001,0.022804245588269764,4738.765471017843,4435.332253120633
127.00000000000001,0.02280851925844829,4738.744746489943,4435.25963227318
128.0,0.02281065611276912,4738.734384132732,4435.223322176244
128.8,0.022819321402044825,4738.692363101193,4435.076083336649
129.2,0.022832780493941416,4738.627095236834,4434.847403380308
129.60000000000002,0.022838123017703875,4738.601187462451,4434.756634729836
129.8,0.022847739762425715,4738.554552489238,4434.593254589995
131.00000000000003,0.02284987685206992,4738.544188990861,4434.556948491309
131.4,0.02300942274150815,4737.770494929564,4431.847721668017
135.4,0.023010491769776376,4737.7653108359755,4431.829576828018
137.6,0.023012629835934086,4737.754942602142,4431.793287311322
138.4,0.023022226441698893,4737.708405289805,4431.630408947669
146.6,0.023023295508378217,4737.703221009948,4431.612264759607
151.6,0.023026502727659433,4737.687668077059,4431.557832522014
153.20000000000002,0.023032191349135676,4737.660081953289,4431.461288868752
155.0,0.023055820625950317,4737.545495289799,4431.060300852149
164.0,0.023056889793412194,4737.540310521211,4431.0421583744055
178.6,0.023059028137958466,4737.529940937374,4431.0058735822
187.2,0.02306009731504288,4737.524756122124,4430.987731267739
187.60000000000002,0.023061166495334823,4737.519571291319,4430.969589007703
188.00000000000003,0.02308255077477012,4737.415871408718,4430.606755236369
188.20000000000002,0.02373247404827016,4734.264165158083,4419.600035704791
188.8,0.030841992601781183,4699.787612343729,4301.762802734102
189.0,0.030848547806811875,4699.7558238519,4301.656276014575
189.20000000000002,0.030861658570859127,4699.692245151639,4301.443228327873
189.4,0.030866028930428543,4699.671051742918,4301.372214136667
190.4,0.030868214129879917,4699.660454943188,4301.336707360626
191.20000000000002,0.030877075466465537,4699.6174832093775,4301.192726018151
191.6,0.030890839062767725,4699.550738696194,4300.969105353921
192.00000000000003,0.03089630245813394,4699.524244772945,4300.8803448598455
192.20000000000002,0.03090613677631154,4699.476554709618,4300.720579325613
193.40000000000003,0.030908322216410353,4699.465956742903,4300.685076459362
193.8,0.031071477742115477,4698.674758287397,4298.035788294932
197.8,0.031072570956548702,4698.6694569065985,4298.018044889529
200.0,0.031074757395254095,4698.65885409729,4297.982558238413
200.8,0.031084571118842053,4698.611263904361,4297.823283379122
209.00000000000003,0.03108566437255541,4698.60596233308,4297.805540611232
214.0,0.031088944153374085,4698.590057523808,4297.752312626929
215.60000000000002,0.03109476147672075,4698.561847279459,4297.657904895638
217.4,0.031118925352670794,4698.444668156973,4297.265788297158
226.4,0.03112001870944685,4698.439366085905,4297.248047201749
241.0,0.031122205432839188,4698.428761896049,4297.212565170597
249.60000000000002,0.031123298799455485,4698.423459777261,4297.194824234856
250.00000000000003,0.031124392169351884,4698.418157642567,4297.177083352338
250.40000000000003,0.031146260256115967,4698.312111608283,4296.822276878481
250.60000000000002,0.03181088767916811,4695.08909977137,4286.05906889105
251.20000000000002,0.03908125510256385,4659.832534285838,4170.828854885136
251.4,0.03908795861543186,4659.800026597209,4170.724684951926
251.60000000000002,0.03910136600316248,4659.7350094645135,4170.516350710588
251.8,0.039105835239666036,4659.713336566807,4170.44690763013
252.8,0.03910806987802942,4659.702500020425,4170.412186402394
253.60000000000002,0.039117131697385385,4659.658556075238,4170.271390488506
254.0,0.039131206687334566,4659.590301504877,4170.052717185121
254.40000000000003,0.039136793688956784,4659.563208171474,4169.965920419194
254.60000000000002,0.03914685050306756,4659.514439147211,4169.809689521401
255.80000000000004,0.039149085387522896,4659.503601407443,4169.774972116956
256.2,0.03931593221549098,4658.694502530628,4167.18429653459
260.2,0.039317050163287626,4658.689081209062,4167.166945682485
