Range,Mean,Count,Start Index,End Index,Start Time,End Time,Duration
2.129999999999927e-06,0.0,1.0,133,134,26.6,26.8,0.1999999999999993
3.3400000000001137e-06,0.0,1.0,150,151,30.0,30.200000000000003,0.20000000000000284
6.390000000000215e-06,0.0,1.0,311,312,62.2,62.400000000000006,0.20000000000000284
1.3369999999999962e-05,0.0,1.0,63,64,12.600000000000001,12.8,0.1999999999999993
1.360000000000033e-05,0.0,1.0,63,64,12.600000000000001,12.8,0.1999999999999993
1.516999999999968e-05,0.0,1.0,63,64,12.600000000000001,12.8,0.1999999999999993
1.6079999999999914e-05,0.0,1.0,63,64,12.600000000000001,12.8,0.1999999999999993
1.704999999999979e-05,0.0,2.0,63,64,12.600000000000001,12.8,0.1999999999999993
1.7520000000000036e-05,0.0,1.0,63,64,12.600000000000001,12.8,0.1999999999999993
2.2630000000000913e-05,0.0,1.0,9,10,1.8,2.0,0.19999999999999996
2.3959999999999954e-05,0.0,1.0,9,10,1.8,2.0,0.19999999999999996
2.4050000000000286e-05,0.0,1.0,9,10,1.8,2.0,0.19999999999999996
2.5380000000000194e-05,0.0,1.0,9,10,1.8,2.0,0.19999999999999996
2.8700000000000427e-05,0.0,1.0,10,11,2.0,2.2,0.20000000000000018
2.8809999999999773e-05,0.0,1.0,10,11,2.0,2.2,0.20000000000000018
3.1429999999999826e-05,0.0,1.0,7,8,1.4000000000000001,1.6,0.19999999999999996
3.578000000000001e-05,0.0,1.0,7,8,1.4000000000000001,1.6,0.19999999999999996
3.622999999999994e-05,0.0,1.0,7,8,1.4000000000000001,1.6,0.19999999999999996
3.737000000000011e-05,0.0,1.0,7,8,1.4000000000000001,1.6,0.19999999999999996
3.791999999999988e-05,0.0,1.0,7,8,1.4000000000000001,1.6,0.19999999999999996
4.094000000000016e-05,0.0,1.0,7,8,1.4000000000000001,1.6,0.19999999999999996
4.652999999999992e-05,0.0,1.0,15,16,3.0,3.2,0.20000000000000018
4.91799999999998e-05,0.0,1.0,15,16,3.0,3.2,0.20000000000000018
5.119999999999951e-05,0.0,1.0,15,16,3.0,3.2,0.20000000000000018
5.230000000000035e-05,0.0,1.0,15,16,3.0,3.2,0.20000000000000018
5.275000000000028e-05,0.0,1.0,15,16,3.0,3.2,0.20000000000000018
5.4950000000000224e-05,0.0,1.0,15,16,3.0,3.2,0.20000000000000018
5.7660000000000176e-05,0.0,1.0,15,16,3.0,3.2,0.20000000000000018
7.227000000000058e-05,0.0,1.0,8,9,1.6,1.8,0.19999999999999996
8.245999999999991e-05,0.0,1.0,8,9,1.6,1.8,0.19999999999999996
8.386000000000027e-05,0.0,1.0,8,9,1.6,1.8,0.19999999999999996
8.717000000000013e-05,0.0,1.0,8,9,1.6,1.8,0.19999999999999996
8.880999999999993e-05,0.0,1.0,8,9,1.6,1.8,0.19999999999999996
9.252000000000002e-05,0.0,1.0,8,9,1.6,1.8,0.19999999999999996
9.320999999999982e-05,0.0,1.0,8,9,1.6,1.8,0.19999999999999996
9.515999999999995e-05,0.0,1.0,8,9,1.6,1.8,0.19999999999999996
9.560000000000037e-05,0.0,1.0,8,9,1.6,1.8,0.19999999999999996
9.564000000000013e-05,0.0,1.0,8,9,1.6,1.8,0.19999999999999996
9.905000000000027e-05,0.0,1.0,8,9,1.6,1.8,0.19999999999999996
9.908000000000009e-05,0.0,1.0,8,9,1.6,1.8,0.19999999999999996
0.00010939000000000001,0.0,1.0,21,22,4.2,4.4,0.20000000000000018
0.00011601000000000016,0.0,1.0,21,22,4.2,4.4,0.20000000000000018
0.00011618000000000045,0.0,1.0,21,22,4.2,4.4,0.20000000000000018
0.0001175600000000005,0.0,1.0,21,22,4.2,4.4,0.20000000000000018
0.00011853999999999988,0.0,1.0,21,22,4.2,4.4,0.20000000000000018
0.00012589999999999954,0.0,1.0,29,31,5.800000000000001,6.2,0.39999999999999947
0.00012627999999999945,0.0,1.0,29,31,5.800000000000001,6.2,0.39999999999999947
0.00013276,0.0,1.0,24,25,4.800000000000001,5.0,0.1999999999999993
0.00013347000000000012,0.0,1.0,24,25,4.800000000000001,5.0,0.1999999999999993
0.00014969000000000007,0.0,1.0,22,24,4.4,4.800000000000001,0.40000000000000036
0.00015247000000000004,0.0,1.0,22,24,4.4,4.800000000000001,0.40000000000000036
0.00015311000000000014,0.0,1.0,22,24,4.4,4.800000000000001,0.40000000000000036
0.00015833999999999987,0.0,1.0,22,24,4.4,4.800000000000001,0.40000000000000036
0.00016011000000000063,0.0,1.0,22,24,4.4,4.800000000000001,0.40000000000000036
0.00016589000000000013,0.0,1.0,22,24,4.4,4.800000000000001,0.40000000000000036
0.00017610000000000065,0.0,1.0,22,24,4.4,4.800000000000001,0.40000000000000036
0.00018648000000000015,0.0,1.0,22,24,4.4,4.800000000000001,0.40000000000000036
0.0001952500000000001,0.0,1.0,22,24,4.4,4.800000000000001,0.40000000000000036
0.00022375,0.0,1.0,51,53,10.200000000000001,10.600000000000001,0.40000000000000036
0.00022605000000000064,0.0,1.0,51,53,10.200000000000001,10.600000000000001,0.40000000000000036
0.0003150599999999998,0.0,1.0,268,269,53.6,53.800000000000004,0.20000000000000284
0.00034986,0.0,1.0,193,196,38.6,39.2,0.6000000000000014
0.0003694099999999997,0.0,1.0,193,196,38.6,39.2,0.6000000000000014
0.0003992500000000003,0.0,1.0,106,109,21.200000000000003,21.8,0.5999999999999979
0.00047183000000000034,0.0,1.0,106,109,21.200000000000003,21.8,0.5999999999999979
0.0005018700000000006,0.0,1.0,106,109,21.200000000000003,21.8,0.5999999999999979
0.00056521,0.0,1.0,2,4,0.4,0.8,0.4
0.0005748199999999998,0.0,1.0,0,2,0.0,0.4,0.4
0.00057632,0.0,1.0,0,2,0.0,0.4,0.4
0.0005997300000000006,0.0,1.0,0,2,0.0,0.4,0.4
0.0006247499999999999,0.0,1.0,0,2,0.0,0.4,0.4
0.0006480399999999999,0.0,1.0,0,2,0.0,0.4,0.4
0.0006642699999999998,0.0,1.0,0,2,0.0,0.4,0.4
0.0006669600000000003,0.0,1.0,0,2,0.0,0.4,0.4
0.0007028,0.0,1.0,0,2,0.0,0.4,0.4
