Cycle #,Range,Mean,Count,Start Index,End Index
1,2.129999999999927e-06,0.0,1.0,0.0,0.0
2,3.3400000000001137e-06,0.0,1.0,0.0,0.0
3,6.390000000000215e-06,0.0,1.0,0.0,0.0
4,1.3369999999999962e-05,0.0,1.0,0.0,0.0
5,1.360000000000033e-05,0.0,1.0,0.0,0.0
6,1.516999999999968e-05,0.0,1.0,0.0,0.0
7,1.6079999999999914e-05,0.0,1.0,0.0,0.0
8,1.704999999999979e-05,0.0,2.0,0.0,0.0
9,1.7520000000000036e-05,0.0,1.0,0.0,0.0
10,2.2630000000000913e-05,0.0,1.0,0.0,0.0
11,2.3959999999999954e-05,0.0,1.0,0.0,0.0
12,2.4050000000000286e-05,0.0,1.0,0.0,0.0
13,2.5380000000000194e-05,0.0,1.0,0.0,0.0
14,2.8700000000000427e-05,0.0,1.0,0.0,0.0
15,2.8809999999999773e-05,0.0,1.0,0.0,0.0
16,3.1429999999999826e-05,0.0,1.0,0.0,0.0
17,3.578000000000001e-05,0.0,1.0,0.0,0.0
18,3.622999999999994e-05,0.0,1.0,0.0,0.0
19,3.737000000000011e-05,0.0,1.0,0.0,0.0
20,3.791999999999988e-05,0.0,1.0,0.0,0.0
21,4.094000000000016e-05,0.0,1.0,0.0,0.0
22,4.652999999999992e-05,0.0,1.0,0.0,0.0
23,4.91799999999998e-05,0.0,1.0,0.0,0.0
24,5.119999999999951e-05,0.0,1.0,0.0,0.0
25,5.230000000000035e-05,0.0,1.0,0.0,0.0
26,5.275000000000028e-05,0.0,1.0,0.0,0.0
27,5.4950000000000224e-05,0.0,1.0,0.0,0.0
28,5.7660000000000176e-05,0.0,1.0,0.0,0.0
29,7.227000000000058e-05,0.0,1.0,0.0,0.0
30,8.245999999999991e-05,0.0,1.0,0.0,0.0
31,8.386000000000027e-05,0.0,1.0,0.0,0.0
32,8.717000000000013e-05,0.0,1.0,0.0,0.0
33,8.880999999999993e-05,0.0,1.0,0.0,0.0
34,9.252000000000002e-05,0.0,1.0,0.0,0.0
35,9.320999999999982e-05,0.0,1.0,0.0,0.0
36,9.515999999999995e-05,0.0,1.0,0.0,0.0
37,9.560000000000037e-05,0.0,1.0,0.0,0.0
38,9.564000000000013e-05,0.0,1.0,0.0,0.0
39,9.905000000000027e-05,0.0,1.0,0.0,0.0
40,9.908000000000009e-05,0.0,1.0,0.0,0.0
41,0.00010939000000000001,0.0,1.0,0.0,0.0
42,0.00011601000000000016,0.0,1.0,0.0,0.0
43,0.00011618000000000045,0.0,1.0,0.0,0.0
44,0.0001175600000000005,0.0,1.0,0.0,0.0
45,0.00011853999999999988,0.0,1.0,0.0,0.0
46,0.00012589999999999954,0.0,1.0,0.0,0.0
47,0.00012627999999999945,0.0,1.0,0.0,0.0
48,0.00013276,0.0,1.0,0.0,0.0
49,0.00013347000000000012,0.0,1.0,0.0,0.0
50,0.00014969000000000007,0.0,1.0,0.0,0.0
51,0.00015247000000000004,0.0,1.0,0.0,0.0
52,0.00015311000000000014,0.0,1.0,0.0,0.0
53,0.00015833999999999987,0.0,1.0,0.0,0.0
54,0.00016011000000000063,0.0,1.0,0.0,0.0
55,0.00016589000000000013,0.0,1.0,0.0,0.0
56,0.00017610000000000065,0.0,1.0,0.0,0.0
57,0.00018648000000000015,0.0,1.0,0.0,0.0
58,0.0001952500000000001,0.0,1.0,0.0,0.0
59,0.00022375,0.0,1.0,0.0,0.0
60,0.00022605000000000064,0.0,1.0,0.0,0.0
61,0.0003150599999999998,0.0,1.0,0.0,0.0
62,0.00034986,0.0,1.0,0.0,0.0
63,0.0003694099999999997,0.0,1.0,0.0,0.0
64,0.0003992500000000003,0.0,1.0,0.0,0.0
65,0.00047183000000000034,0.0,1.0,0.0,0.0
66,0.0005018700000000006,0.0,1.0,0.0,0.0
67,0.00056521,0.0,1.0,0.0,0.0
68,0.0005748199999999998,0.0,1.0,0.0,0.0
69,0.00057632,0.0,1.0,0.0,0.0
70,0.0005997300000000006,0.0,1.0,0.0,0.0
71,0.0006247499999999999,0.0,1.0,0.0,0.0
72,0.0006480399999999999,0.0,1.0,0.0,0.0
73,0.0006642699999999998,0.0,1.0,0.0,0.0
74,0.0006669600000000003,0.0,1.0,0.0,0.0
75,0.0007028,0.0,1.0,0.0,0.0
76,0.0007031999999999997,0.0,1.0,0.0,0.0
77,0.0007050200000000002,0.0,1.0,0.0,0.0
78,0.0007429700000000008,0.0,1.0,0.0,0.0
79,0.00075186,0.0,1.0,0.0,0.0
80,0.0007624100000000007,0.0,1.0,0.0,0.0
81,0.0007636800000000001,0.0,1.0,0.0,0.0
82,0.0007649699999999998,0.0,1.0,0.0,0.0
83,0.0007688899999999999,0.0,1.0,0.0,0.0
84,0.0007737,0.0,1.0,0.0,0.0
85,0.0007920900000000001,0.0,1.0,0.0,0.0
86,0.0007954899999999998,0.0,1.0,0.0,0.0
87,0.0008508399999999998,0.0,1.0,0.0,0.0
88,0.0008600800000000005,0.0,1.0,0.0,0.0
89,0.0008696600000000004,0.0,1.0,0.0,0.0
90,0.0008698899999999995,0.0,1.0,0.0,0.0
91,0.0008821300000000005,0.0,1.0,0.0,0.0
92,0.0008865900000000005,0.0,1.0,0.0,0.0
93,0.00090172,0.0,1.0,0.0,0.0
94,0.0009390599999999998,0.0,1.0,0.0,0.0
95,0.0009543900000000003,0.0,1.0,0.0,0.0
96,0.00096495,0.0,1.0,0.0,0.0
97,0.00097124,0.0,1.0,0.0,0.0
98,0.0011121299999999998,0.0,0.5,0.0,0.0
99,0.00120336,0.0,0.5,0.0,0.0
100,0.00132885,0.0,1.0,0.0,0.0
101,0.0018542500000000002,0.0,1.0,0.0,0.0
102,0.0023692080000000003,0.0,1.0,0.0,0.0
103,0.0025106759999999994,0.0,1.0,0.0,0.0
104,0.0025776339999999997,0.0,1.0,0.0,0.0
105,0.0026686130000000002,0.0,1.0,0.0,0.0
106,0.0027119809999999996,0.0,1.0,0.0,0.0
107,0.0027799623,0.0,1.0,0.0,0.0
108,0.002784533,0.0,1.0,0.0,0.0
109,0.0028313431999999993,0.0,0.5,0.0,0.0
110,0.0028364744,0.0,1.0,0.0,0.0
111,0.0028552616,0.0,1.0,0.0,0.0
112,0.0029108932,0.0,0.5,0.0,0.0
